City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,88,95,6.13,overcast clouds
285,Ostrovnoy,RU,68.0531,39.5131,32.72,84,100,9.06,overcast clouds
286,Nara,JP,34.6851,135.8049,73.49,33,100,4.61,overcast clouds
287,Mae Hong Son,TH,19.3003,97.9685,81.14,78,100,1.1,overcast clouds
288,Kosonsoy,UZ,41.2561,71.5508,61.36,59,88,6.04,overcast clouds
289,Saint-Pierre,RE,-21.3393,55.4781,67.68,68,0,6.91,clear sky
290,Singur,IN,22.8092,88.2294,91.96,71,4,15.66,clear sky
291,Khatanga,RU,71.9667,102.5,33.12,100,100,5.61,light snow
292,Callaway,US,30.153,-85.5699,79.0,86,40,8.05,scattered clouds
293,La Asuncion,VE,11.0333,-63.8628,79.27,79,100,17.16,overcast clouds
294,Senno,RU,59.5336,33.9167,36.27,78,100,5.97,overcast clouds
295,Sun City West,US,33.662,-112.3413,99.9,10,0,4.61,clear sky
296,Dehui,CN,44.5333,125.7,72.79,29,63,15.46,broken clouds
297,Bria,CF,6.5423,21.9863,70.57,93,99,2.13,overcast clouds
298,Hobyo,SO,5.3505,48.5268,79.29,81,7,20.07,clear sky
299,Maceio,BR,-9.6658,-35.7353,78.24,83,0,9.22,clear sky
300,Acari,PE,-15.4311,-74.6158,66.54,78,86,2.44,overcast clouds
301,Beloha,MG,-25.1667,45.05,63.63,81,0,7.4,clear sky
302,Praya,CV,14.9215,-23.5087,73.33,75,100,12.84,overcast clouds
303,Yangjiang,CN,21.85,111.9667,74.5,71,100,3.85,overcast clouds
304,Wilkie,CA,52.4168,-108.7014,49.89,78,100,11.41,light rain
305,Guanica,PR,17.9716,-66.908,82.51,81,100,1.01,overcast clouds
306,Mountain Home,US,43.133,-115.6912,69.84,37,100,14.09,overcast clouds
307,Poltavka,RU,54.3663,71.7632,56.35,62,3,17.18,clear sky
308,Angoram,PG,-4.0625,144.0661,90.63,57,32,1.41,scattered clouds
309,Vanavara,RU,60.34,102.2797,55.49,60,27,13.22,scattered clouds
310,Montepuez,MZ,-13.1256,38.9997,67.23,84,100,4.97,overcast clouds
311,Sarangani,PH,5.4033,125.4636,83.05,78,59,13.58,broken clouds
312,Encruzilhada,BR,-15.5314,-40.9094,67.89,42,93,9.22,overcast clouds
313,Matara,LK,5.9485,80.5353,79.02,90,18,11.95,few clouds
314,San Policarpo,PH,12.1791,125.5072,82.31,81,98,8.23,overcast clouds
315,Katsuura,JP,35.1333,140.3,68.99,57,2,4.18,clear sky
316,Santiago,CL,-33.4569,-70.6483,60.28,62,75,12.66,haze
317,Aden,YE,12.7794,45.0367,86.88,56,63,2.93,broken clouds
318,Coffs Harbour,AU,-30.3,153.1333,64.36,48,100,12.66,overcast clouds
319,Vestmannaeyjar,IS,63.4427,-20.2734,47.25,85,91,17.18,overcast clouds
320,Ati,TD,13.2154,18.3353,85.3,43,100,7.25,overcast clouds
321,Ambon,ID,-3.6954,128.1814,86.14,70,40,2.3,scattered clouds
322,Luanda,AO,-8.8368,13.2343,72.81,90,0,6.71,clear sky
323,Blackwater,AU,-23.5833,148.8833,70.54,40,100,7.58,overcast clouds
324,Kenai,US,60.5544,-151.2583,63.03,41,0,11.5,clear sky
325,Altay,CN,47.8667,88.1167,68.47,33,1,3.62,clear sky
326,Juneau,US,58.3019,-134.4197,62.6,100,100,8.05,overcast clouds
327,Moranbah,AU,-22.0016,148.0466,69.89,48,95,17.49,overcast clouds
328,Kavieng,PG,-2.5744,150.7967,84.47,70,1,7.54,light rain
329,Alta Gracia,AR,-31.6529,-64.4283,46.89,44,0,3.42,clear sky
330,Russell,US,32.3502,-85.1999,83.8,73,0,0.0,clear sky
331,Baykalovo,RU,57.3981,63.7684,48.43,91,100,2.73,light rain
332,Nisia Floresta,BR,-6.0911,-35.2086,76.01,88,31,3.74,light rain
333,Esil,KZ,51.9556,66.4042,50.54,67,4,14.09,clear sky
334,Ingham,US,42.6,-84.3833,54.18,95,100,9.22,mist
335,Riohacha,CO,11.5444,-72.9072,82.69,71,100,11.01,overcast clouds
336,Kavaratti,IN,10.5669,72.642,82.81,81,100,15.08,overcast clouds
337,Sibolga,ID,1.7427,98.7792,80.67,72,19,1.23,few clouds
338,Bajil,YE,15.0584,43.2851,86.49,48,24,2.06,few clouds
339,Auki,SB,-8.7676,160.7034,85.03,68,14,4.85,few clouds
340,Chapais,CA,49.7834,-74.8492,40.12,82,64,3.4,broken clouds
341,Blatnica,BA,44.4864,17.8233,45.63,67,0,3.44,clear sky
342,Harbour Breton,CA,47.4833,-55.7983,43.2,94,6,10.45,clear sky
343,Pingliang,CN,35.5392,106.6861,64.53,53,65,1.63,broken clouds
344,Seydi,TM,39.4816,62.9137,72.3,25,0,14.99,clear sky
